Region,Latitude,Longitude
Paro,27.4646365,89.3183409
Gasa,27.9190875,89.7875318
Deothang,26.8625795,91.4730839
Bhur,26.9194973,90.4308961
Nganglam,26.8363391,91.2516139
Zhemgang,27.0821148,90.8408984
Simtokha,27.4402332,89.6710275
Phuentsholing,26.8639605,89.3837363
Chamkhar,27.9370783,90.5818778
Mongar,27.2065089,91.0900363
Trongsa,27.5016134,90.5075946
Tashiyangtse,27.6156,91.4921
Tangmachu_Lhuentse,27.6864,91.126
